Pais,ISO3,Año,PIB,Poblacion,PIB_per_capita
Argentina,ARG,2000,284203750000.0,37213984.0,7637.014892036284
Argentina,ARG,2001,268696750000.0,37624825.0,7141.475076628263
Argentina,ARG,2002,97724004251.8602,38029349.0,2569.699635191236
Argentina,ARG,2003,127586973492.177,38424282.0,3320.4777513390363
Argentina,ARG,2004,164657930452.787,38815916.0,4242.020990894224
Argentina,ARG,2005,198737095012.282,39216789.0,5067.653422932765
Argentina,ARG,2006,232557260817.308,39622115.0,5869.380289702051
Argentina,ARG,2007,287530508430.568,40016763.0,7185.251551470267
Argentina,ARG,2008,361558037110.419,40424148.0,8944.110265735693
Argentina,ARG,2009,332976484577.619,40854831.0,8150.23527028221
Argentina,ARG,2010,423627422092.49,41288694.0,10260.131310825429
Argentina,ARG,2011,530158122010.442,41730660.0,12704.283181968414
Argentina,ARG,2012,545982375701.128,42161721.0,12949.717486654019
Argentina,ARG,2013,552025140252.246,42582455.0,12963.675773326033
Argentina,ARG,2014,526319673731.638,43024071.0,12233.144411918574
Argentina,ARG,2015,594749285413.212,43477012.0,13679.626498095407
Argentina,ARG,2016,557532320662.955,43900313.0,12699.962313775643
Argentina,ARG,2017,643628393281.364,44288894.0,14532.500930851062
Argentina,ARG,2018,524819892360.176,44654882.0,11752.799892297913
Argentina,ARG,2019,447754683615.225,44973465.0,9955.974786804285
Argentina,ARG,2020,385740508436.965,45191965.0,8535.599380043886
Argentina,ARG,2021,486564085480.036,45312281.0,10738.01792233845
Argentina,ARG,2022,633993756301.08,45407904.0,13962.189408722323
Argentina,ARG,2023,649461687959.174,45538401.0,14261.84656679478
Argentina,ARG,2024,638365455340.04,45696159.0,13969.783660373732
Belize,BLZ,2000,1138138100.0,240799.0,4726.506754596157
Belize,BLZ,2001,1172045150.0,248379.0,4718.777151047391
Belize,BLZ,2002,1243912050.0,256009.0,4858.860625993618
Belize,BLZ,2003,1308280250.0,263780.0,4959.740124346046
Belize,BLZ,2004,1400202000.0,271688.0,5153.713082653632
Belize,BLZ,2005,1474298400.0,279731.0,5270.4147913531215
Belize,BLZ,2006,1590463100.0,287878.0,5524.7816783498565
Belize,BLZ,2007,1706190450.0,296100.0,5762.210233029382
Belize,BLZ,2008,1738453600.0,304361.0,5711.8145885970935
Belize,BLZ,2009,1688012750.0,312614.0,5399.671000019193
Belize,BLZ,2010,1748988400.0,320245.0,5461.4073599900075
Belize,BLZ,2011,1831576700.0,327298.0,5596.052221522894
Belize,BLZ,2012,1917083500.0,334414.0,5732.665199423469
Belize,BLZ,2013,2035191450.0,341627.0,5957.349536190055
Belize,BLZ,2014,2138242200.0,348923.0,6128.120530890769
Belize,BLZ,2015,2193095150.0,356333.0,6154.622642303688
Belize,BLZ,2016,2239604950.0,364705.0,6140.867139194692
Belize,BLZ,2017,2266028250.0,373202.0,6071.854518464531
Belize,BLZ,2018,2285915050.0,380226.0,6011.990368885873
Belize,BLZ,2019,2381187850.0,385829.0,6171.614497614228
Belize,BLZ,2020,2047284600.0,390812.0,5238.540781756958
Belize,BLZ,2021,2428606250.0,395346.0,6142.9893055703105
Belize,BLZ,2022,2846604350.0,402733.0,7068.217280431452
Belize,BLZ,2023,3052362650.0,411106.0,7424.758213210218
Belize,BLZ,2024,3203631800.0,417072.0,7681.244005831128
Bolivia,BOL,2000,8397855484.76908,8606326.0,975.7770603587501
Bolivia,BOL,2001,8141516928.39489,8752736.0,930.1682272143122
Bolivia,BOL,2002,7905485146.44351,8900355.0,888.2213289743511
Bolivia,BOL,2003,8082399639.54305,9050700.0,893.0137602111494
Bolivia,BOL,2004,8773451751.5121,9204287.0,953.1918932462776
Bolivia,BOL,2005,9549122905.32852,9360754.0,1020.1232620073682
Bolivia,BOL,2006,11451844902.2214,9521689.0,1202.7115044632733
Bolivia,BOL,2007,13120108008.3477,9685960.0,1354.5490594992855
Bolivia,BOL,2008,16674276285.8956,9850858.0,1692.6724845587662
Bolivia,BOL,2009,17339992193.7322,10016275.0,1731.181721122094
Bolivia,BOL,2010,19649723722.1034,10182345.0,1929.7837307715856
Bolivia,BOL,2011,23963164696.592,10348929.0,2315.521219306075
Bolivia,BOL,2012,27084497481.9103,10515807.0,2575.5985709808388
Bolivia,BOL,2013,30659338885.6729,10682608.0,2870.023770007558
Bolivia,BOL,2014,32996188017.3661,10848888.0,3041.43503162408
Bolivia,BOL,2015,33000198248.9146,11014705.0,2996.0128981134403
Bolivia,BOL,2016,33941126193.9219,11180020.0,3035.8734773213196
Bolivia,BOL,2017,45927439594.7902,11344587.0,4048.4011973983893
Bolivia,BOL,2018,48414038842.2576,11508368.0,4206.855293666104
Bolivia,BOL,2019,49056643589.0014,11671386.0,4203.154928557877
Bolivia,BOL,2020,42313784081.042,11816299.0,3580.96761778303
Bolivia,BOL,2021,47877892402.3155,11937360.0,4010.760536862045
Bolivia,BOL,2022,50959081953.6903,12077154.0,4219.461137424454
